Frequency (kHz),Shotnoise calibrated squeezing (dB),Correlation calibrated squeezing (dB)
71.68,0.9679468610298613,0.8614715297108744
71.808,0.9893600648823858,0.8919354221514687
71.936,1.4502467383917137,0.8818751644435069
72.06400000000001,1.4141533510911182,0.9028241872285516
72.19200000000001,1.0932488972745262,0.9586580615253598
72.32000000000001,1.1284648881979866,0.9893134493468454
72.44800000000001,1.2088515557901054,0.996080593482505
72.57600000000001,1.3883556534544974,1.0408652025721241
72.70400000000001,1.5602825561869225,1.0610387958230185
72.83200000000001,1.74437066829468,1.1479935636715974
72.96000000000001,1.7229053449555307,1.0703630465228693
73.08800000000001,1.4869252117632268,1.0919778810824585
73.21600000000001,1.3176278333422893,1.0922924130268072
73.34400000000001,1.2688306461414873,1.1365593397037184
73.47200000000001,1.3820639187480066,1.2207162023877103
73.60000000000001,1.3340240271046124,1.2980563377552956
73.72800000000001,1.3674569004831658,1.3256709578609447
73.856,1.8332499206399897,1.8007232061865996
73.984,2.6553189806233246,3.0806006542839977
74.112,2.4830942328983334,2.6524822245497597
74.24,1.844844766262528,1.8288107521716106
74.368,1.562920344053511,1.4806014185312812
74.496,1.5407311998984496,1.290350518392827
74.624,1.5637239602799726,1.2498999465171539
74.752,1.6186808916749185,1.3804143617262807
74.88,1.6765499226831146,1.435160463244463
75.008,1.6918233292433285,1.3480290194007827
75.136,1.6123657511238316,1.332651845205347
75.264,1.63168484650762,1.4871161919350402
75.392,1.757179430658982,1.6278914112691643
75.52,1.7312718077480826,1.6606322932936821
75.648,1.7554202163399295,1.6079685620405784
75.776,1.8143079158156366,1.5506582582634674
75.904,1.7490730852616985,1.4024914127809485
76.032,1.577881227414534,1.4817272252734712
76.16,1.5800004295721992,1.4636652156707153
76.288,1.6429053246096466,1.5041276077334187
76.416,1.7682851888712572,1.5577779664436875
76.544,2.0998421397507565,1.853135126483978
76.672,2.31147389349923,2.0602544394396807
76.8,2.4851144218896493,2.422288713363016
76.928,2.408488993177385,2.3800988518519723
77.056,2.1438636036504883,2.0462786124906196
77.184,1.9948648163198217,1.9198839714799745
77.312,2.0020173485767425,1.8752815844379804
77.44,1.9513722016295336,1.8694883171973449
77.568,1.9268477371564763,1.826555378864522
77.696,1.9349681752939818,1.8055600195255914
77.824,1.979220818086236,1.8091756665480467
77.952,2.006265286387621,1.7680415877387012
78.08,1.9490988686017032,1.8959204766689166
78.208,2.1504931311048994,2.047224963916027
78.336,2.955113879957301,2.8395448724279215
78.464,2.501009684520337,2.4209574849313804
78.592,2.185109259166574,1.972025742171764
78.72,2.2541633230688998,2.003926493189783
78.848,2.228817284210172,1.9483127005895182
78.976,2.6109932742343767,2.534226024560713
79.104,2.8052155526370366,3.1927588362499373
79.232,2.34926975573388,2.400934053175768
79.36,2.3230187997292955,2.113591482000468
79.488,2.4371543443083423,2.22609969066449
79.616,2.5931769180167223,2.290780852077205
79.744,2.4513343597014576,2.2072309541317745
79.872,2.7922786156326405,2.427236006007299
80.0,3.5720510250427635,2.5917016523776097
